,primaryTitle,averageRating,runtimeNumber,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,Production_Budget,Worldwide_Gross,Release_dt,gross_log,hyped
32742,21,6.8,123.0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35000000,159846429,2008-03-28,18.88972409978313,False
32747,In the Valley of Elah,7.1,121.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23000000,24489150,2007-09-14,17.01374076111632,True
32766,The Tree of Life,6.8,139.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35000000,61721826,2011-05-27,17.938148186446913,False
32768,Knocked Up,6.9,129.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27500000,219265952,2007-06-01,19.205795948257133,False
32794,Ant-Man,7.3,117.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130000000,518858449,2015-07-14,20.0671416679001,True
32804,Rocky Balboa,7.1,102.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24000000,156229050,2006-12-20,18.866833763992116,True
32819,Nancy Drew,5.9,99.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20000000,30703845,2007-06-15,17.239898481583896,False
32836,Crank,6.9,88.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12000000,43924923,2006-09-01,17.59799246181397,False
32841,Madagascar: Escape 2 Africa,6.6,89.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000000,599680774,2008-11-07,20.211908029929365,False
32843,One Missed Call,4.0,87.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,20000000,44513466,2008-01-04,17.611302330566968,False
32844,Season of the Witch,5.4,95.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40000000,91126600,2011-01-07,18.327760317411734,False
32857,I Am Legend,7.2,101.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,150000000,585532684,2007-12-14,20.188032563525923,True
32859,The Losers,6.3,97.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000,29863840,2010-04-23,17.2121589754263,False
32871,Hall Pass,5.8,105.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,68000000,87173475,2011-02-25,18.28341066829689,False
32879,No Reservations,6.3,104.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28000000,91943956,2007-07-27,18.336689786354647,False
32888,The Number 23,6.4,98.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,32000000,77593167,2007-02-23,18.166989940040477,False
32891,The Croods,7.2,98.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135000000,573068425,2013-03-15,20.166515684652325,True
